"TIME","METROREG","UNIT","Value","Flag and Footnotes"
"2011","Czechia","Million euro","164,040.46",""
"2012","Czechia","Million euro","161,434.33",""
"2013","Czechia","Million euro","157,741.65",""
"2014","Czechia","Million euro","156,659.97",""
"2015","Czechia","Million euro","168,473.29",""
"2016","Czechia","Million euro","176,370.13",""
"2017","Czechia","Million euro","191,721.76",""
"2018","Czechia","Million euro","207,570.32",""
"2000","Praha","Million euro","22,431.81",""
"2001","Praha","Million euro","25,604.46",""
"2002","Praha","Million euro","29,906.06",""
"2003","Praha","Million euro","30,578.25",""
"2004","Praha","Million euro","33,402.7",""
"2005","Praha","Million euro","38,236.08",""
"2006","Praha","Million euro","43,832.1",""
"2007","Praha","Million euro","49,828.54",""
"2008","Praha","Million euro","58,911",""
"2009","Praha","Million euro","53,868.96",""
"2010","Praha","Million euro","56,895.67",""
"2011","Praha","Million euro","58,754.65",""
"2012","Praha","Million euro","57,811.49",""
"2013","Praha","Million euro","56,337.66",""
"2014","Praha","Million euro","55,816.83",""
"2015","Praha","Million euro","61,471.15",""
"2016","Praha","Million euro","65,041.21",""
"2017","Praha","Million euro","71,535.21",""
"2018","Praha","Million euro",":",""
"2000","Brno","Million euro","6,702.23",""
"2001","Brno","Million euro","7,565.92",""
"2002","Brno","Million euro","8,706.34",""
"2003","Brno","Million euro","8,891.39",""
"2004","Brno","Million euro","9,567.43",""
"2005","Brno","Million euro","10,826",""
"2006","Brno","Million euro","12,242.75",""
"2007","Brno","Million euro","13,821.6",""
"2008","Brno","Million euro","16,556.03",""
"2009","Brno","Million euro","15,278.68",""
"2010","Brno","Million euro","16,140.34",""
"2011","Brno","Million euro","17,147.32",""
"2012","Brno","Million euro","17,270.43",""
"2013","Brno","Million euro","17,433.82",""
"2014","Brno","Million euro","17,195.99",""
"2015","Brno","Million euro","18,408.84",""
"2016","Brno","Million euro","18,956.98",""
"2017","Brno","Million euro","20,184.37",""
"2018","Brno","Million euro",":",""
"2000","Ostrava","Million euro","6,412.38",""
"2001","Ostrava","Million euro","7,228.81",""
"2002","Ostrava","Million euro","8,281.5",""
"2003","Ostrava","Million euro","8,347.44",""
"2004","Ostrava","Million euro","9,543.18",""
"2005","Ostrava","Million euro","11,248.93",""
"2006","Ostrava","Million euro","12,379.04",""
"2007","Ostrava","Million euro","13,820.92",""
"2008","Ostrava","Million euro","16,180.73",""
"2009","Ostrava","Million euro","14,367.97",""
"2010","Ostrava","Million euro","15,376.32",""
"2011","Ostrava","Million euro","16,509.92",""
"2012","Ostrava","Million euro","16,252.71",""
"2013","Ostrava","Million euro","15,291.04",""
"2014","Ostrava","Million euro","15,246.48",""
"2015","Ostrava","Million euro","16,127.18",""
"2016","Ostrava","Million euro","16,788.48",""
"2017","Ostrava","Million euro","18,016.66",""
"2018","Ostrava","Million euro",":",""
"2000","Plzen","Million euro","3,368.13",""
"2001","Plzen","Million euro","3,812.7",""
"2002","Plzen","Million euro","4,377.89",""
"2003","Plzen","Million euro","4,480.74",""
"2004","Plzen","Million euro","5,012.84",""
"2005","Plzen","Million euro","5,548.62",""
"2006","Plzen","Million euro","6,413.49",""
"2007","Plzen","Million euro","6,863.51",""
"2008","Plzen","Million euro","7,595.54",""
"2009","Plzen","Million euro","7,326.91",""
"2010","Plzen","Million euro","7,856.38",""
"2011","Plzen","Million euro","8,239.39",""
"2012","Plzen","Million euro","7,891.52",""
"2013","Plzen","Million euro","8,011.5",""
"2014","Plzen","Million euro","8,098.74",""
"2015","Plzen","Million euro","8,549.95",""
"2016","Plzen","Million euro","9,012.92",""
"2017","Plzen","Million euro","9,694.83",""
"2018","Plzen","Million euro",":",""
"2000","Non-metropolitan regions in Czech Republic","Million euro","27,924.22",""
"2001","Non-metropolitan regions in Czech Republic","Million euro","31,175.83",""
"2002","Non-metropolitan regions in Czech Republic","Million euro","35,783.27",""
"2003","Non-metropolitan regions in Czech Republic","Million euro","35,951.32",""
"2004","Non-metropolitan regions in Czech Republic","Million euro","38,502.32",""
"2005","Non-metropolitan regions in Czech Republic","Million euro","43,768.03",""
"2006","Non-metropolitan regions in Czech Republic","Million euro","49,075.81",""
"2007","Non-metropolitan regions in Czech Republic","Million euro","53,968.3",""
"2008","Non-metropolitan regions in Czech Republic","Million euro","62,069.85",""
"2009","Non-metropolitan regions in Czech Republic","Million euro","57,839.49",""
"2010","Non-metropolitan regions in Czech Republic","Million euro","60,449.55",""
"2011","Non-metropolitan regions in Czech Republic","Million euro","63,389.18",""
"2012","Non-metropolitan regions in Czech Republic","Million euro","62,208.17",""
"2013","Non-metropolitan regions in Czech Republic","Million euro","60,667.63",""
"2014","Non-metropolitan regions in Czech Republic","Million euro","60,301.93",""
"2015","Non-metropolitan regions in Czech Republic","Million euro","63,916.18",""
"2016","Non-metropolitan regions in Czech Republic","Million euro","66,570.54",""
"2017","Non-metropolitan regions in Czech Republic","Million euro","72,290.68",""
"2018","Non-metropolitan regions in Czech Republic","Million euro",":",""
"2000","Denmark","Million euro","178,018.19",""
"2001","Denmark","Million euro","184,045.57",""
"2002","Denmark","Million euro","189,794.9",""
"2003","Denmark","Million euro","193,353.39",""
