"TIME","METROREG","AGE","SEX","Value","Flag and Footnotes"
"2005","Non-metropolitan regions in Finland","Total","Total","2,878,880",""
"2006","Non-metropolitan regions in Finland","Total","Total","2,879,309",""
"2007","Non-metropolitan regions in Finland","Total","Total","2,878,223",""
"2008","Non-metropolitan regions in Finland","Total","Total","2,879,599",""
"2009","Non-metropolitan regions in Finland","Total","Total","2,881,627",""
"2010","Non-metropolitan regions in Finland","Total","Total","2,885,265",""
"2011","Non-metropolitan regions in Finland","Total","Total","2,888,592",""
"2012","Non-metropolitan regions in Finland","Total","Total","2,892,255",""
"2013","Non-metropolitan regions in Finland","Total","Total","2,894,335",""
"2014","Non-metropolitan regions in Finland","Total","Total","2,894,751",""
"2015","Non-metropolitan regions in Finland","Total","Total","2,892,258",""
"2016","Non-metropolitan regions in Finland","Total","Total","2,886,610",""
"2017","Non-metropolitan regions in Finland","Total","Total","2,880,105",""
"2018","Non-metropolitan regions in Finland","Total","Total","2,867,748",""
"2019","Non-metropolitan regions in Finland","Total","Total","2,853,218",""
"1999","Sweden","Total","Total","8,854,322",""
"2000","Sweden","Total","Total","8,861,426",""
"2001","Sweden","Total","Total","8,882,792",""
"2002","Sweden","Total","Total","8,909,128",""
"2003","Sweden","Total","Total","8,940,788",""
"2004","Sweden","Total","Total","8,975,670",""
"2005","Sweden","Total","Total","9,011,392",""
"2006","Sweden","Total","Total","9,047,752",""
"2007","Sweden","Total","Total","9,113,257",""
"2008","Sweden","Total","Total","9,182,927",""
"2009","Sweden","Total","Total","9,256,347",""
"2010","Sweden","Total","Total","9,340,682",""
"2011","Sweden","Total","Total","9,415,570",""
"2012","Sweden","Total","Total","9,482,855",""
"2013","Sweden","Total","Total","9,555,893",""
"2014","Sweden","Total","Total","9,644,864",""
"2015","Sweden","Total","Total","9,747,355",""
"2016","Sweden","Total","Total","9,851,017",""
"2017","Sweden","Total","Total","9,995,153",""
"2018","Sweden","Total","Total","10,120,242",""
"2019","Sweden","Total","Total","10,230,185",""
"1999","Stockholm","Total","Total",":",""
"2000","Stockholm","Total","Total","1,803,377",""
"2001","Stockholm","Total","Total","1,823,210",""
"2002","Stockholm","Total","Total","1,838,882",""
"2003","Stockholm","Total","Total","1,850,467",""
"2004","Stockholm","Total","Total","1,860,872",""
"2005","Stockholm","Total","Total","1,872,900",""
"2006","Stockholm","Total","Total","1,889,945",""
"2007","Stockholm","Total","Total","1,918,104",""
"2008","Stockholm","Total","Total","1,949,516",""
"2009","Stockholm","Total","Total","1,981,263",""
"2010","Stockholm","Total","Total","2,019,182",""
"2011","Stockholm","Total","Total","2,054,343",""
"2012","Stockholm","Total","Total","2,091,473",""
"2013","Stockholm","Total","Total","2,127,006",""
"2014","Stockholm","Total","Total","2,163,042",""
"2015","Stockholm","Total","Total","2,198,044",""
"2016","Stockholm","Total","Total","2,231,439",""
"2017","Stockholm","Total","Total","2,269,060",""
"2018","Stockholm","Total","Total","2,308,143",""
"2019","Stockholm","Total","Total","2,344,124",""
"1999","Göteborg","Total","Total",":",""
"2000","Göteborg","Total","Total","1,488,709",""
"2001","Göteborg","Total","Total","1,494,641",""
"2002","Göteborg","Total","Total","1,500,857",""
"2003","Göteborg","Total","Total","1,508,230",""
"2004","Göteborg","Total","Total","1,514,992",""
"2005","Göteborg","Total","Total","1,521,895",""
"2006","Göteborg","Total","Total","1,528,455",""
"2007","Göteborg","Total","Total","1,538,284",""
"2008","Göteborg","Total","Total","1,547,298",""
"2009","Göteborg","Total","Total","1,558,130",""
"2010","Göteborg","Total","Total","1,569,458",""
"2011","Göteborg","Total","Total","1,580,297",""
"2012","Göteborg","Total","Total","1,590,604",""
"2013","Göteborg","Total","Total","1,600,447",""
"2014","Göteborg","Total","Total","1,615,084",""
"2015","Göteborg","Total","Total","1,632,012",""
"2016","Göteborg","Total","Total","1,648,682",""
"2017","Göteborg","Total","Total","1,671,783",""
"2018","Göteborg","Total","Total","1,690,782",""
"2019","Göteborg","Total","Total","1,709,814",""
"1999","Malmö","Total","Total",":",""
"2000","Malmö","Total","Total","1,123,786",""
"2001","Malmö","Total","Total","1,129,424",""
"2002","Malmö","Total","Total","1,136,571",""
"2003","Malmö","Total","Total","1,145,090",""
"2004","Malmö","Total","Total","1,152,697",""
"2005","Malmö","Total","Total","1,160,919",""
"2006","Malmö","Total","Total","1,169,464",""
"2007","Malmö","Total","Total","1,184,500",""
"2008","Malmö","Total","Total","1,199,357",""
"2009","Malmö","Total","Total","1,214,758",""
"2010","Malmö","Total","Total","1,231,062",""
"2011","Malmö","Total","Total","1,243,329",""
"2012","Malmö","Total","Total","1,252,933",""
"2013","Malmö","Total","Total","1,263,088",""
"2014","Malmö","Total","Total","1,274,069",""
"2015","Malmö","Total","Total","1,288,908",""
"2016","Malmö","Total","Total","1,303,627",""
"2017","Malmö","Total","Total","1,324,565",""
"2018","Malmö","Total","Total","1,344,689",""
"2019","Malmö","Total","Total","1,362,164",""
"1999","Uppsala","Total","Total",":",""
"2000","Uppsala","Total","Total","292,415",""
"2001","Uppsala","Total","Total","294,196",""
"2002","Uppsala","Total","Total","296,627",""
"2003","Uppsala","Total","Total","298,655",""
"2004","Uppsala","Total","Total","300,495",""
"2005","Uppsala","Total","Total","302,564",""
"2006","Uppsala","Total","Total","304,367",""
"2007","Uppsala","Total","Total","319,925",""
"2008","Uppsala","Total","Total","323,270",""
"2009","Uppsala","Total","Total","327,188",""
"2010","Uppsala","Total","Total","331,898",""
"2011","Uppsala","Total","Total","335,882",""
"2012","Uppsala","Total","Total","338,630",""
"2013","Uppsala","Total","Total","341,977",""
"2014","Uppsala","Total","Total","345,481",""
"2015","Uppsala","Total","Total","348,942",""
"2016","Uppsala","Total","Total","354,164",""
"2017","Uppsala","Total","Total","361,373",""
"2018","Uppsala","Total","Total","368,971",""
"2019","Uppsala","Total","Total","376,354",""
"1999","Non-metropolitan regions in Sweden","Total","Total",":",""
"2000","Non-metropolitan regions in Sweden","Total","Total","4,153,139",""
"2001","Non-metropolitan regions in Sweden","Total","Total","4,141,321",""
"2002","Non-metropolitan regions in Sweden","Total","Total","4,136,191",""
"2003","Non-metropolitan regions in Sweden","Total","Total","4,138,346",""
"2004","Non-metropolitan regions in Sweden","Total","Total","4,146,614",""
"2005","Non-metropolitan regions in Sweden","Total","Total","4,153,114",""
"2006","Non-metropolitan regions in Sweden","Total","Total","4,155,521",""
"2007","Non-metropolitan regions in Sweden","Total","Total","4,152,444",""
"2008","Non-metropolitan regions in Sweden","Total","Total","4,163,486",""
"2009","Non-metropolitan regions in Sweden","Total","Total","4,175,008",""
"2010","Non-metropolitan regions in Sweden","Total","Total","4,189,082",""
"2011","Non-metropolitan regions in Sweden","Total","Total","4,201,719",""
"2012","Non-metropolitan regions in Sweden","Total","Total","4,209,215",""
"2013","Non-metropolitan regions in Sweden","Total","Total","4,223,375",""
"2014","Non-metropolitan regions in Sweden","Total","Total","4,247,188",""
"2015","Non-metropolitan regions in Sweden","Total","Total","4,279,449",""
"2016","Non-metropolitan regions in Sweden","Total","Total","4,313,105",""
"2017","Non-metropolitan regions in Sweden","Total","Total","4,368,372",""
"2018","Non-metropolitan regions in Sweden","Total","Total","4,407,657",""
"2019","Non-metropolitan regions in Sweden","Total","Total","4,437,729",""
"1999","United Kingdom","Total","Total","58,579,685",""
"2000","United Kingdom","Total","Total","58,785,246",""
"2001","United Kingdom","Total","Total","58,999,781",""
"2002","United Kingdom","Total","Total","59,239,564",""
"2003","United Kingdom","Total","Total","59,501,394",""
"2004","United Kingdom","Total","Total","59,793,759",""
"2005","United Kingdom","Total","Total","60,182,050",""
"2006","United Kingdom","Total","Total","60,620,361",""
"2007","United Kingdom","Total","Total","61,073,279",""
"2008","United Kingdom","Total","Total","61,571,647",""
"2009","United Kingdom","Total","Total","62,042,343",""
"2010","United Kingdom","Total","Total","62,510,197",""
"2011","United Kingdom","Total","Total","63,022,532",""
"2012","United Kingdom","Total","Total","63,495,088",""
"2013","United Kingdom","Total","Total","63,905,342",""
"2014","United Kingdom","Total","Total","64,351,203",""
"2015","United Kingdom","Total","Total","64,853,393",""
"2016","United Kingdom","Total","Total","65,379,044",""
"2017","United Kingdom","Total","Total","65,844,142",""
"2018","United Kingdom","Total","Total","66,273,576",""
"2019","United Kingdom","Total","Total","66,647,112",""
"1999","London","Total","Total",":",""
"2000","London","Total","Total",":",""
"2001","London","Total","Total",":",""
"2002","London","Total","Total","12,069,553",""
"2003","London","Total","Total","12,119,566",""
"2004","London","Total","Total","12,164,802",""
"2005","London","Total","Total","12,254,153",""
"2006","London","Total","Total","12,376,611",""
"2007","London","Total","Total","12,509,930",""
"2008","London","Total","Total","12,667,745",""
"2009","London","Total","Total","12,839,980",""
"2010","London","Total","Total","13,011,136",""
"2011","London","Total","Total","13,188,460",""
"2012","London","Total","Total","13,353,048",""
"2013","London","Total","Total","13,501,897",""
"2014","London","Total","Total","13,666,285",""
"2015","London","Total","Total","13,839,040",""
"2016","London","Total","Total","13,998,563",""
"2017","London","Total","Total","14,115,260",""
"2018","London","Total","Total","14,257,962",""
"2019","London","Total","Total","14,372,596",""
"1999","West Midlands urban area","Total","Total",":",""
"2000","West Midlands urban area","Total","Total",":",""
"2001","West Midlands urban area","Total","Total",":",""
"2002","West Midlands urban area","Total","Total","2,270,122",""
"2003","West Midlands urban area","Total","Total","2,279,916",""
"2004","West Midlands urban area","Total","Total","2,290,292",""
"2005","West Midlands urban area","Total","Total","2,304,631",""
"2006","West Midlands urban area","Total","Total","2,319,680",""
"2007","West Midlands urban area","Total","Total","2,333,056",""
"2008","West Midlands urban area","Total","Total","2,350,583",""
"2009","West Midlands urban area","Total","Total","2,370,267",""
"2010","West Midlands urban area","Total","Total","2,389,966",""
"2011","West Midlands urban area","Total","Total","2,411,525",""
"2012","West Midlands urban area","Total","Total","2,431,096",""
"2013","West Midlands urban area","Total","Total","2,446,375",""
"2014","West Midlands urban area","Total","Total","2,462,139",""
"2015","West Midlands urban area","Total","Total","2,480,551",""
"2016","West Midlands urban area","Total","Total","2,503,801",""
"2017","West Midlands urban area","Total","Total","2,527,235",""
"2018","West Midlands urban area","Total","Total","2,545,475",""
"2019","West Midlands urban area","Total","Total","2,558,916",""
"1999","Leeds","Total","Total",":",""
"2000","Leeds","Total","Total",":",""
"2001","Leeds","Total","Total",":",""
"2002","Leeds","Total","Total","1,603,520",""
"2003","Leeds","Total","Total","1,608,573",""
"2004","Leeds","Total","Total","1,616,156",""
"2005","Leeds","Total","Total","1,629,466",""
"2006","Leeds","Total","Total","1,640,891",""
"2007","Leeds","Total","Total","1,647,651",""
"2008","Leeds","Total","Total","1,655,714",""
"2009","Leeds","Total","Total","1,662,370",""
"2010","Leeds","Total","Total","1,668,514",""
"2011","Leeds","Total","Total","1,675,301",""
"2012","Leeds","Total","Total","1,683,644",""
"2013","Leeds","Total","Total","1,692,180",""
"2014","Leeds","Total","Total","1,698,630",""
"2015","Leeds","Total","Total","1,707,499",""
"2016","Leeds","Total","Total","1,720,393",""
"2017","Leeds","Total","Total","1,732,477",""
"2018","Leeds","Total","Total","1,741,298",""
"2019","Leeds","Total","Total","1,750,276",""
"1999","Glasgow","Total","Total",":",""
"2000","Glasgow","Total","Total",":",""
"2001","Glasgow","Total","Total",":",""
"2002","Glasgow","Total","Total",":",""
"2003","Glasgow","Total","Total",":",""
"2004","Glasgow","Total","Total",":",""
"2005","Glasgow","Total","Total",":",""
"2006","Glasgow","Total","Total",":",""
"2007","Glasgow","Total","Total",":",""
"2008","Glasgow","Total","Total",":",""
"2009","Glasgow","Total","Total",":",""
"2010","Glasgow","Total","Total",":",""
"2011","Glasgow","Total","Total",":",""
"2012","Glasgow","Total","Total","1,813,998",""
"2013","Glasgow","Total","Total","1,815,563",""
"2014","Glasgow","Total","Total","1,819,359",""
"2015","Glasgow","Total","Total","1,826,202",""
"2016","Glasgow","Total","Total","1,837,293",""
"2017","Glasgow","Total","Total","1,848,855",""
"2018","Glasgow","Total","Total","1,854,866",""
"2019","Glasgow","Total","Total","1,861,315",""
"1999","Bradford","Total","Total","467,467",""
"2000","Bradford","Total","Total","467,028",""
"2001","Bradford","Total","Total","468,938",""
"2002","Bradford","Total","Total","472,975",""
"2003","Bradford","Total","Total","477,188",""
"2004","Bradford","Total","Total","481,924",""
"2005","Bradford","Total","Total","488,011",""
"2006","Bradford","Total","Total","493,515",""
"2007","Bradford","Total","Total","498,518",""
"2008","Bradford","Total","Total","504,357",""
"2009","Bradford","Total","Total","509,868",""
"2010","Bradford","Total","Total","515,209",""
"2011","Bradford","Total","Total","520,568",""
"2012","Bradford","Total","Total","523,748",""
"2013","Bradford","Total","Total","525,144",""
"2014","Bradford","Total","Total","526,739",""
"2015","Bradford","Total","Total","528,708",""
"2016","Bradford","Total","Total","531,191",""
"2017","Bradford","Total","Total","533,670",""
"2018","Bradford","Total","Total","535,328",""
"2019","Bradford","Total","Total","536,986",""
"1999","Liverpool","Total","Total",":",""
"2000","Liverpool","Total","Total",":",""
"2001","Liverpool","Total","Total",":",""
"2002","Liverpool","Total","Total","1,695,299",""
"2003","Liverpool","Total","Total","1,695,824",""
"2004","Liverpool","Total","Total","1,697,899",""
"2005","Liverpool","Total","Total","1,700,630",""
"2006","Liverpool","Total","Total","1,702,767",""
"2007","Liverpool","Total","Total","1,704,115",""
"2008","Liverpool","Total","Total","1,706,215",""
"2009","Liverpool","Total","Total","1,709,737",""
"2010","Liverpool","Total","Total","1,714,791",""
"2011","Liverpool","Total","Total","1,721,286",""
"2012","Liverpool","Total","Total","1,728,462",""
"2013","Liverpool","Total","Total","1,734,128",""
"2014","Liverpool","Total","Total","1,739,776",""
"2015","Liverpool","Total","Total","1,748,610",""
"2016","Liverpool","Total","Total","1,759,735",""
"2017","Liverpool","Total","Total","1,769,959",""
"2018","Liverpool","Total","Total","1,777,603",""
"2019","Liverpool","Total","Total","1,784,475",""
"1999","Edinburgh","Total","Total",":",""
"2000","Edinburgh","Total","Total",":",""
"2001","Edinburgh","Total","Total",":",""
"2002","Edinburgh","Total","Total",":",""
"2003","Edinburgh","Total","Total",":",""
"2004","Edinburgh","Total","Total",":",""
"2005","Edinburgh","Total","Total",":",""
"2006","Edinburgh","Total","Total",":",""
"2007","Edinburgh","Total","Total",":",""
"2008","Edinburgh","Total","Total",":",""
"2009","Edinburgh","Total","Total",":",""
"2010","Edinburgh","Total","Total",":",""
"2011","Edinburgh","Total","Total",":",""
"2012","Edinburgh","Total","Total","840,180",""
"2013","Edinburgh","Total","Total","846,731",""
"2014","Edinburgh","Total","Total","853,916",""
"2015","Edinburgh","Total","Total","862,963",""
"2016","Edinburgh","Total","Total","873,892",""
"2017","Edinburgh","Total","Total","884,727",""
"2018","Edinburgh","Total","Total","893,326",""
"2019","Edinburgh","Total","Total","901,455",""
"1999","Manchester","Total","Total",":",""
"2000","Manchester","Total","Total",":",""
"2001","Manchester","Total","Total",":",""
"2002","Manchester","Total","Total","3,341,045",""
"2003","Manchester","Total","Total","3,356,293",""
"2004","Manchester","Total","Total","3,373,632",""
"2005","Manchester","Total","Total","3,390,642",""
"2006","Manchester","Total","Total","3,411,816",""
"2007","Manchester","Total","Total","3,434,429",""
"2008","Manchester","Total","Total","3,459,062",""
"2009","Manchester","Total","Total","3,484,135",""
"2010","Manchester","Total","Total","3,508,359",""
"2011","Manchester","Total","Total","3,534,565",""
"2012","Manchester","Total","Total","3,557,856",""
"2013","Manchester","Total","Total","3,575,439",""
"2014","Manchester","Total","Total","3,593,600",""
"2015","Manchester","Total","Total","3,617,395",""
"2016","Manchester","Total","Total","3,646,149",""
"2017","Manchester","Total","Total","3,673,365",""
"2018","Manchester","Total","Total","3,695,071",""
"2019","Manchester","Total","Total","3,712,997",""
"1999","Cardiff","Total","Total","1,049,248",""
"2000","Cardiff","Total","Total","1,049,756",""
"2001","Cardiff","Total","Total","1,049,021",""
"2002","Cardiff","Total","Total","1,049,464",""
"2003","Cardiff","Total","Total","1,052,414",""
"2004","Cardiff","Total","Total","1,057,525",""
"2005","Cardiff","Total","Total","1,064,049",""
"2006","Cardiff","Total","Total","1,069,733",""
"2007","Cardiff","Total","Total","1,076,446",""
"2008","Cardiff","Total","Total","1,084,137",""
"2009","Cardiff","Total","Total","1,091,492",""
"2010","Cardiff","Total","Total","1,097,323",""
"2011","Cardiff","Total","Total","1,102,428",""
"2012","Cardiff","Total","Total","1,107,784",""
"2013","Cardiff","Total","Total","1,112,793",""
"2014","Cardiff","Total","Total","1,117,516",""
"2015","Cardiff","Total","Total","1,121,732",""
"2016","Cardiff","Total","Total","1,126,766",""
"2017","Cardiff","Total","Total","1,132,565",""
"2018","Cardiff","Total","Total","1,135,795",""
"2019","Cardiff","Total","Total","1,140,165",""
"1999","Sheffield","Total","Total","516,965",""
"2000","Sheffield","Total","Total","515,454",""
"2001","Sheffield","Total","Total","513,838",""
"2002","Sheffield","Total","Total","513,659",""
"2003","Sheffield","Total","Total","514,790",""
"2004","Sheffield","Total","Total","517,497",""
"2005","Sheffield","Total","Total","522,694",""
"2006","Sheffield","Total","Total","526,684",""
"2007","Sheffield","Total","Total","528,782",""
"2008","Sheffield","Total","Total","531,977",""
"2009","Sheffield","Total","Total","536,233",""
"2010","Sheffield","Total","Total","541,506",""
"2011","Sheffield","Total","Total","548,206",""
"2012","Sheffield","Total","Total","554,508",""
"2013","Sheffield","Total","Total","558,762",""
"2014","Sheffield","Total","Total","561,870",""
"2015","Sheffield","Total","Total","566,367",""
"2016","Sheffield","Total","Total","571,647",""
"2017","Sheffield","Total","Total","575,936",""
"2018","Sheffield","Total","Total","580,108",""
"2019","Sheffield","Total","Total","584,028",""
"1999","Bristol","Total","Total","983,040",""
"2000","Bristol","Total","Total","988,949",""
"2001","Bristol","Total","Total","992,752",""
"2002","Bristol","Total","Total","995,566",""
"2003","Bristol","Total","Total","999,710",""
"2004","Bristol","Total","Total","1,006,351",""
"2005","Bristol","Total","Total","1,017,505",""
"2006","Bristol","Total","Total","1,028,275",""
"2007","Bristol","Total","Total","1,036,316",""
"2008","Bristol","Total","Total","1,043,966",""
"2009","Bristol","Total","Total","1,050,510",""
"2010","Bristol","Total","Total","1,057,778",""
"2011","Bristol","Total","Total","1,065,956",""
"2012","Bristol","Total","Total","1,075,509",""
"2013","Bristol","Total","Total","1,086,930",""
"2014","Bristol","Total","Total","1,098,640",""
"2015","Bristol","Total","Total","1,111,554",""
"2016","Bristol","Total","Total","1,125,101",""
"2017","Bristol","Total","Total","1,135,581",""
"2018","Bristol","Total","Total","1,147,017",""
"2019","Bristol","Total","Total","1,157,937",""
"1999","Belfast","Total","Total",":",""
"2000","Belfast","Total","Total",":",""
"2001","Belfast","Total","Total",":",""
"2002","Belfast","Total","Total",":",""
"2003","Belfast","Total","Total",":",""
"2004","Belfast","Total","Total",":",""
"2005","Belfast","Total","Total",":",""
"2006","Belfast","Total","Total",":",""
"2007","Belfast","Total","Total",":",""
"2008","Belfast","Total","Total",":",""
"2009","Belfast","Total","Total",":",""
"2010","Belfast","Total","Total",":",""
"2011","Belfast","Total","Total",":",""
"2012","Belfast","Total","Total","765,927",""
"2013","Belfast","Total","Total","768,122",""
"2014","Belfast","Total","Total","771,296",""
"2015","Belfast","Total","Total","775,921",""
"2016","Belfast","Total","Total","779,920",""
"2017","Belfast","Total","Total","783,052",""
"2018","Belfast","Total","Total","786,054",""
"2019","Belfast","Total","Total","789,817",""
"1999","Newcastle upon Tyne","Total","Total","1,118,436",""
"2000","Newcastle upon Tyne","Total","Total","1,113,067",""
"2001","Newcastle upon Tyne","Total","Total","1,110,141",""
"2002","Newcastle upon Tyne","Total","Total","1,110,822",""
"2003","Newcastle upon Tyne","Total","Total","1,112,358",""
"2004","Newcastle upon Tyne","Total","Total","1,112,763",""
"2005","Newcastle upon Tyne","Total","Total","1,114,891",""
"2006","Newcastle upon Tyne","Total","Total","1,118,242",""
"2007","Newcastle upon Tyne","Total","Total","1,122,057",""
"2008","Newcastle upon Tyne","Total","Total","1,126,512",""
"2009","Newcastle upon Tyne","Total","Total","1,130,678",""
"2010","Newcastle upon Tyne","Total","Total","1,136,232",""
"2011","Newcastle upon Tyne","Total","Total","1,142,333",""
"2012","Newcastle upon Tyne","Total","Total","1,146,768",""
"2013","Newcastle upon Tyne","Total","Total","1,150,696",""
"2014","Newcastle upon Tyne","Total","Total","1,155,175",""
"2015","Newcastle upon Tyne","Total","Total","1,158,825",""
"2016","Newcastle upon Tyne","Total","Total","1,163,402",""
"2017","Newcastle upon Tyne","Total","Total","1,168,966",""
"2018","Newcastle upon Tyne","Total","Total","1,172,580",""
"2019","Newcastle upon Tyne","Total","Total","1,177,704",""
"1999","Leicester","Total","Total","1,242,855",""
"2000","Leicester","Total","Total","1,246,419",""
"2001","Leicester","Total","Total","1,250,124",""
"2002","Leicester","Total","Total","1,256,840",""
"2003","Leicester","Total","Total","1,264,814",""
"2004","Leicester","Total","Total","1,273,942",""
"2005","Leicester","Total","Total","1,284,917",""
"2006","Leicester","Total","Total","1,295,762",""
"2007","Leicester","Total","Total","1,306,537",""
"2008","Leicester","Total","Total","1,317,335",""
"2009","Leicester","Total","Total","1,327,000",""
"2010","Leicester","Total","Total","1,336,879",""
"2011","Leicester","Total","Total","1,347,733",""
"2012","Leicester","Total","Total","1,357,312",""
"2013","Leicester","Total","Total","1,366,844",""
"2014","Leicester","Total","Total","1,378,319",""
"2015","Leicester","Total","Total","1,391,277",""
"2016","Leicester","Total","Total","1,405,535",""
"2017","Leicester","Total","Total","1,421,003",""
"2018","Leicester","Total","Total","1,432,212",""
"2019","Leicester","Total","Total","1,443,399",""
"1999","Aberdeen","Total","Total",":",""
"2000","Aberdeen","Total","Total","441,113",""
"2001","Aberdeen","Total","Total","439,594",""
"2002","Aberdeen","Total","Total","439,179",""
"2003","Aberdeen","Total","Total","440,026",""
"2004","Aberdeen","Total","Total","441,522",""
"2005","Aberdeen","Total","Total","444,381",""
"2006","Aberdeen","Total","Total","448,538",""
"2007","Aberdeen","Total","Total","453,837",""
"2008","Aberdeen","Total","Total","458,850",""
"2009","Aberdeen","Total","Total","463,461",""
"2010","Aberdeen","Total","Total","468,596",""
"2011","Aberdeen","Total","Total","473,634",""
"2012","Aberdeen","Total","Total","478,294",""
"2013","Aberdeen","Total","Total","482,660",""
"2014","Aberdeen","Total","Total","487,150",""
"2015","Aberdeen","Total","Total","490,875",""
"2016","Aberdeen","Total","Total","492,173",""
"2017","Aberdeen","Total","Total","491,323",""
"2018","Aberdeen","Total","Total","494,624",""
"2019","Aberdeen","Total","Total","495,365",""
"1999","Cambridge","Total","Total","546,264",""
"2000","Cambridge","Total","Total","549,475",""
"2001","Cambridge","Total","Total","553,036",""
"2002","Cambridge","Total","Total","556,812",""
"2003","Cambridge","Total","Total","563,837",""
"2004","Cambridge","Total","Total","571,612",""
"2005","Cambridge","Total","Total","579,074",""
"2006","Cambridge","Total","Total","586,293",""
"2007","Cambridge","Total","Total","591,630",""
"2008","Cambridge","Total","Total","597,591",""
"2009","Cambridge","Total","Total","603,538",""
"2010","Cambridge","Total","Total","610,573",""
"2011","Cambridge","Total","Total","618,614",""
"2012","Cambridge","Total","Total","624,114",""
"2013","Cambridge","Total","Total","627,404",""
"2014","Cambridge","Total","Total","632,047",""
"2015","Cambridge","Total","Total","638,360",""
"2016","Cambridge","Total","Total","643,068",""
"2017","Cambridge","Total","Total","646,421",""
"2018","Cambridge","Total","Total","650,190",""
"2019","Cambridge","Total","Total","653,412",""
"1999","Exeter","Total","Total","689,872",""
"2000","Exeter","Total","Total","696,590",""
"2001","Exeter","Total","Total","703,227",""
"2002","Exeter","Total","Total","707,784",""
"2003","Exeter","Total","Total","712,039",""
"2004","Exeter","Total","Total","716,488",""
"2005","Exeter","Total","Total","722,258",""
"2006","Exeter","Total","Total","727,649",""
"2007","Exeter","Total","Total","732,998",""
"2008","Exeter","Total","Total","738,150",""
"2009","Exeter","Total","Total","740,488",""
"2010","Exeter","Total","Total","742,475",""
"2011","Exeter","Total","Total","745,841",""
"2012","Exeter","Total","Total","750,424",""
"2013","Exeter","Total","Total","755,467",""
"2014","Exeter","Total","Total","761,311",""
"2015","Exeter","Total","Total","768,497",""
"2016","Exeter","Total","Total","775,598",""
"2017","Exeter","Total","Total","782,974",""
"2018","Exeter","Total","Total","788,540",""
"2019","Exeter","Total","Total","795,012",""
"1999","Portsmouth","Total","Total",":",""
"2000","Portsmouth","Total","Total",":",""
"2001","Portsmouth","Total","Total",":",""
"2002","Portsmouth","Total","Total","606,680",""
"2003","Portsmouth","Total","Total","608,909",""
"2004","Portsmouth","Total","Total","612,477",""
"2005","Portsmouth","Total","Total","616,567",""
"2006","Portsmouth","Total","Total","619,924",""
"2007","Portsmouth","Total","Total","622,493",""
"2008","Portsmouth","Total","Total","626,061",""
"2009","Portsmouth","Total","Total","630,936",""
"2010","Portsmouth","Total","Total","637,136",""
"2011","Portsmouth","Total","Total","643,701",""
"2012","Portsmouth","Total","Total","648,695",""
"2013","Portsmouth","Total","Total","652,099",""
"2014","Portsmouth","Total","Total","655,868",""
"2015","Portsmouth","Total","Total","660,394",""
"2016","Portsmouth","Total","Total","665,306",""
"2017","Portsmouth","Total","Total","670,021",""
"2018","Portsmouth","Total","Total","673,822",""
"2019","Portsmouth","Total","Total","676,546",""
"1999","Coventry","Total","Total","804,242",""
"2000","Coventry","Total","Total","804,331",""
"2001","Coventry","Total","Total","806,627",""
"2002","Coventry","Total","Total","810,498",""
"2003","Coventry","Total","Total","813,853",""
"2004","Coventry","Total","Total","816,259",""
"2005","Coventry","Total","Total","819,424",""
"2006","Coventry","Total","Total","825,607",""
"2007","Coventry","Total","Total","832,511",""
"2008","Coventry","Total","Total","840,197",""
"2009","Coventry","Total","Total","847,037",""
"2010","Coventry","Total","Total","852,690",""
"2011","Coventry","Total","Total","859,648",""
"2012","Coventry","Total","Total","867,156",""
"2013","Coventry","Total","Total","874,395",""
"2014","Coventry","Total","Total","882,744",""
"2015","Coventry","Total","Total","893,489",""
"2016","Coventry","Total","Total","905,829",""
"2017","Coventry","Total","Total","918,447",""
"2018","Coventry","Total","Total","927,389",""
"2019","Coventry","Total","Total","937,628",""
"1999","Kingston upon Hull","Total","Total","565,812",""
"2000","Kingston upon Hull","Total","Total","564,407",""
"2001","Kingston upon Hull","Total","Total","564,282",""
"2002","Kingston upon Hull","Total","Total","566,411",""
"2003","Kingston upon Hull","Total","Total","570,260",""
"2004","Kingston upon Hull","Total","Total","575,290",""
"2005","Kingston upon Hull","Total","Total","580,256",""
"2006","Kingston upon Hull","Total","Total","583,225",""
"2007","Kingston upon Hull","Total","Total","585,331",""
"2008","Kingston upon Hull","Total","Total","587,892",""
"2009","Kingston upon Hull","Total","Total","588,992",""
"2010","Kingston upon Hull","Total","Total","589,268",""
"2011","Kingston upon Hull","Total","Total","590,243",""
"2012","Kingston upon Hull","Total","Total","591,872",""
"2013","Kingston upon Hull","Total","Total","593,096",""
"2014","Kingston upon Hull","Total","Total","593,957",""
"2015","Kingston upon Hull","Total","Total","595,002",""
"2016","Kingston upon Hull","Total","Total","596,578",""
"2017","Kingston upon Hull","Total","Total","598,282",""
"2018","Kingston upon Hull","Total","Total","599,640",""
"2019","Kingston upon Hull","Total","Total","600,774",""
"1999","Stoke-on-Trent","Total","Total","1,048,408",""
"2000","Stoke-on-Trent","Total","Total","1,047,138",""
"2001","Stoke-on-Trent","Total","Total","1,047,030",""
"2002","Stoke-on-Trent","Total","Total","1,048,897",""
"2003","Stoke-on-Trent","Total","Total","1,052,726",""
"2004","Stoke-on-Trent","Total","Total","1,057,505",""
"2005","Stoke-on-Trent","Total","Total","1,061,954",""
"2006","Stoke-on-Trent","Total","Total","1,067,320",""
