"TIME","METROREG","UNIT","WSTATUS","NACE_R2","Value","Flag and Footnotes"
"2000","Plovdiv","Thousand persons","Employed persons","Total - all NACE activities","276.4",""
"2001","Plovdiv","Thousand persons","Employed persons","Total - all NACE activities","276.19",""
"2002","Plovdiv","Thousand persons","Employed persons","Total - all NACE activities","288.27",""
"2003","Plovdiv","Thousand persons","Employed persons","Total - all NACE activities","302.97",""
"2004","Plovdiv","Thousand persons","Employed persons","Total - all NACE activities","302.07",""
"2005","Plovdiv","Thousand persons","Employed persons","Total - all NACE activities","322.19",""
"2006","Plovdiv","Thousand persons","Employed persons","Total - all NACE activities","329.12",""
"2007","Plovdiv","Thousand persons","Employed persons","Total - all NACE activities","335.29",""
"2008","Plovdiv","Thousand persons","Employed persons","Total - all NACE activities","353.31",""
"2009","Plovdiv","Thousand persons","Employed persons","Total - all NACE activities","347.62",""
"2010","Plovdiv","Thousand persons","Employed persons","Total - all NACE activities","335.59",""
"2011","Plovdiv","Thousand persons","Employed persons","Total - all NACE activities","325.22",""
"2012","Plovdiv","Thousand persons","Employed persons","Total - all NACE activities","319","p"
"2013","Plovdiv","Thousand persons","Employed persons","Total - all NACE activities","313","p"
"2014","Plovdiv","Thousand persons","Employed persons","Total - all NACE activities","314","p"
"2015","Plovdiv","Thousand persons","Employed persons","Total - all NACE activities","315","p"
"2016","Plovdiv","Thousand persons","Employed persons","Total - all NACE activities","322","p"
"2017","Plovdiv","Thousand persons","Employed persons","Total - all NACE activities","344","p"
"2018","Plovdiv","Thousand persons","Employed persons","Total - all NACE activities",":",""
"1999","Varna","Thousand persons","Employed persons","Total - all NACE activities",":",""
"2000","Varna","Thousand persons","Employed persons","Total - all NACE activities","182.55",""
"2001","Varna","Thousand persons","Employed persons","Total - all NACE activities","182.71",""
"2002","Varna","Thousand persons","Employed persons","Total - all NACE activities","183.36",""
"2003","Varna","Thousand persons","Employed persons","Total - all NACE activities","193.11",""
"2004","Varna","Thousand persons","Employed persons","Total - all NACE activities","201.32",""
"2005","Varna","Thousand persons","Employed persons","Total - all NACE activities","213.35",""
"2006","Varna","Thousand persons","Employed persons","Total - all NACE activities","222.91",""
"2007","Varna","Thousand persons","Employed persons","Total - all NACE activities","232.67",""
"2008","Varna","Thousand persons","Employed persons","Total - all NACE activities","234.2",""
"2009","Varna","Thousand persons","Employed persons","Total - all NACE activities","243.43",""
"2010","Varna","Thousand persons","Employed persons","Total - all NACE activities","231.54",""
"2011","Varna","Thousand persons","Employed persons","Total - all NACE activities","218.04",""
"2012","Varna","Thousand persons","Employed persons","Total - all NACE activities","214","p"
"2013","Varna","Thousand persons","Employed persons","Total - all NACE activities","220","p"
"2014","Varna","Thousand persons","Employed persons","Total - all NACE activities","228","p"
"2015","Varna","Thousand persons","Employed persons","Total - all NACE activities","228","p"
"2016","Varna","Thousand persons","Employed persons","Total - all NACE activities","221","p"
"2017","Varna","Thousand persons","Employed persons","Total - all NACE activities","214","p"
"2018","Varna","Thousand persons","Employed persons","Total - all NACE activities",":",""
"1999","Burgas","Thousand persons","Employed persons","Total - all NACE activities",":",""
"2000","Burgas","Thousand persons","Employed persons","Total - all NACE activities","194.04",""
"2001","Burgas","Thousand persons","Employed persons","Total - all NACE activities","183.58",""
"2002","Burgas","Thousand persons","Employed persons","Total - all NACE activities","186.57",""
"2003","Burgas","Thousand persons","Employed persons","Total - all NACE activities","188.84",""
"2004","Burgas","Thousand persons","Employed persons","Total - all NACE activities","217.63",""
"2005","Burgas","Thousand persons","Employed persons","Total - all NACE activities","207.86",""
"2006","Burgas","Thousand persons","Employed persons","Total - all NACE activities","215.35",""
"2007","Burgas","Thousand persons","Employed persons","Total - all NACE activities","206.69",""
"2008","Burgas","Thousand persons","Employed persons","Total - all NACE activities","212.29",""
"2009","Burgas","Thousand persons","Employed persons","Total - all NACE activities","200.39",""
"2010","Burgas","Thousand persons","Employed persons","Total - all NACE activities","187.3",""
"2011","Burgas","Thousand persons","Employed persons","Total - all NACE activities","185.26",""
"2012","Burgas","Thousand persons","Employed persons","Total - all NACE activities","183","p"
"2013","Burgas","Thousand persons","Employed persons","Total - all NACE activities","190","p"
"2014","Burgas","Thousand persons","Employed persons","Total - all NACE activities","196","p"
"2015","Burgas","Thousand persons","Employed persons","Total - all NACE activities","193","p"
"2016","Burgas","Thousand persons","Employed persons","Total - all NACE activities","195","p"
"2017","Burgas","Thousand persons","Employed persons","Total - all NACE activities","194","p"
"2018","Burgas","Thousand persons","Employed persons","Total - all NACE activities",":",""
"1999","Non-metropolitan regions in Bulgaria","Thousand persons","Employed persons","Total - all NACE activities",":",""
"2000","Non-metropolitan regions in Bulgaria","Thousand persons","Employed persons","Total - all NACE activities","1,828.36",""
"2001","Non-metropolitan regions in Bulgaria","Thousand persons","Employed persons","Total - all NACE activities","1,780.39",""
"2002","Non-metropolitan regions in Bulgaria","Thousand persons","Employed persons","Total - all NACE activities","1,767.33",""
"2003","Non-metropolitan regions in Bulgaria","Thousand persons","Employed persons","Total - all NACE activities","1,836.85",""
"2004","Non-metropolitan regions in Bulgaria","Thousand persons","Employed persons","Total - all NACE activities","1,880.09",""
"2005","Non-metropolitan regions in Bulgaria","Thousand persons","Employed persons","Total - all NACE activities","1,870.64",""
"2006","Non-metropolitan regions in Bulgaria","Thousand persons","Employed persons","Total - all NACE activities","1,887.75",""
"2007","Non-metropolitan regions in Bulgaria","Thousand persons","Employed persons","Total - all NACE activities","1,938.54",""
"2008","Non-metropolitan regions in Bulgaria","Thousand persons","Employed persons","Total - all NACE activities","1,942.82",""
"2009","Non-metropolitan regions in Bulgaria","Thousand persons","Employed persons","Total - all NACE activities","1,888.13",""
"2010","Non-metropolitan regions in Bulgaria","Thousand persons","Employed persons","Total - all NACE activities","1,793.97",""
"2011","Non-metropolitan regions in Bulgaria","Thousand persons","Employed persons","Total - all NACE activities","1,754.59",""
"2012","Non-metropolitan regions in Bulgaria","Thousand persons","Employed persons","Total - all NACE activities","1,715","p"
"2013","Non-metropolitan regions in Bulgaria","Thousand persons","Employed persons","Total - all NACE activities","1,695","p"
"2014","Non-metropolitan regions in Bulgaria","Thousand persons","Employed persons","Total - all NACE activities","1,680","p"
"2015","Non-metropolitan regions in Bulgaria","Thousand persons","Employed persons","Total - all NACE activities","1,685","p"
"2016","Non-metropolitan regions in Bulgaria","Thousand persons","Employed persons","Total - all NACE activities","1,670","p"
"2017","Non-metropolitan regions in Bulgaria","Thousand persons","Employed persons","Total - all NACE activities","1,688","p"
"2018","Non-metropolitan regions in Bulgaria","Thousand persons","Employed persons","Total - all NACE activities",":",""
"1999","Czechia","Thousand persons","Employed persons","Total - all NACE activities","4,900",""
"2000","Czechia","Thousand persons","Employed persons","Total - all NACE activities","4,859",""
"2001","Czechia","Thousand persons","Employed persons","Total - all NACE activities","4,846",""
"2002","Czechia","Thousand persons","Employed persons","Total - all NACE activities","4,877",""
"2003","Czechia","Thousand persons","Employed persons","Total - all NACE activities","4,838",""
"2004","Czechia","Thousand persons","Employed persons","Total - all NACE activities","4,829",""
"2005","Czechia","Thousand persons","Employed persons","Total - all NACE activities","4,923",""
"2006","Czechia","Thousand persons","Employed persons","Total - all NACE activities","4,989",""
"2007","Czechia","Thousand persons","Employed persons","Total - all NACE activities","5,093",""
"2008","Czechia","Thousand persons","Employed persons","Total - all NACE activities","5,204",""
"2009","Czechia","Thousand persons","Employed persons","Total - all NACE activities","5,110",""
"2010","Czechia","Thousand persons","Employed persons","Total - all NACE activities","5,057",""
"2011","Czechia","Thousand persons","Employed persons","Total - all NACE activities","5,043",""
"2012","Czechia","Thousand persons","Employed persons","Total - all NACE activities","5,065",""
"2013","Czechia","Thousand persons","Employed persons","Total - all NACE activities","5,081",""
"2014","Czechia","Thousand persons","Employed persons","Total - all NACE activities","5,109",""
"2015","Czechia","Thousand persons","Employed persons","Total - all NACE activities","5,182",""
"2016","Czechia","Thousand persons","Employed persons","Total - all NACE activities","5,264",""
"2017","Czechia","Thousand persons","Employed persons","Total - all NACE activities","5,346",""
"2018","Czechia","Thousand persons","Employed persons","Total - all NACE activities","5,418",""
"1999","Praha","Thousand persons","Employed persons","Total - all NACE activities","1,275",""
"2000","Praha","Thousand persons","Employed persons","Total - all NACE activities","1,270",""
"2001","Praha","Thousand persons","Employed persons","Total - all NACE activities","1,272",""
"2002","Praha","Thousand persons","Employed persons","Total - all NACE activities","1,298",""
"2003","Praha","Thousand persons","Employed persons","Total - all NACE activities","1,290",""
"2004","Praha","Thousand persons","Employed persons","Total - all NACE activities","1,295",""
"2005","Praha","Thousand persons","Employed persons","Total - all NACE activities","1,326",""
"2006","Praha","Thousand persons","Employed persons","Total - all NACE activities","1,379",""
"2007","Praha","Thousand persons","Employed persons","Total - all NACE activities","1,401",""
"2008","Praha","Thousand persons","Employed persons","Total - all NACE activities","1,473",""
"2009","Praha","Thousand persons","Employed persons","Total - all NACE activities","1,484",""
